Project Title,Source,Relevant Links,Project Description
Livia Eberlin,UT Austin,https://grants.nih.gov/grants/guide/notice-files/not-dc-20-008.html,"Assistant Professor
Dr. Eberlin is refining design of the MasSpec Pen (invented by
Eberlin) as a probe that could be inserted into the nose or throat for
immediate analysis/diagnosis of COVID-19. She has been discussing
with collaborators at the Texas Medical Center in Houston (oncology
MDs who are now assisting with COVID-19 efforts) how they could
potentially use the MasSpec Pen technology to rapidly identify
coronavirus directly from nasal or throat swab samples based on the
detection of small molecules that are highly specific to the virus with
mass spectrometry, in a similar fashion to experiments that Dr.
Eberlin pursues with bacteria in her lab."
Ilya Finkelstein,UT Austin,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-144.html,"Associate Professor Dr. Finkelstein's immediate objective is to ramp up
mammalian and P. pastoris cell expression and biochemical
purification of the COVID-19 spike protein and receptor-
binding domain (RBD). He will be cloning, expressing, and
testing 60+ variants for improved yield and biophysical
stability. Spike protein and RBD truncations will be shipped
to academic and commercial labs for immediate serological
assay development. All efforts are in collaboration with Dr.
Jason McLellan’s lab. Dr. Finkelstein will be helping the
McLellan lab screen mAb-spike protein co-structures vianegative stain- and cryo-EM."
George Georgiou,UT Austin,https://www.nsf.gov/pubs/2020/nsf20105/nsf20105.jsp,"Professor
Dr. Georgiou and his group will determine the adaptive
immune responses -- e.g., circulating antibodies, B cells and T
cells -- in convalescent patients using technologies developed by
our labs at UT Austin. This work will seek to define the antibody
and cellular immune responses elicited by SARS-CoV 2 and how
they may affect disease progression. These studies capitalize on
technologies invented by his group and are expected to provide
unique insights into immunological responses to infection.
Importantly, the work will also help the identification of
protective antibodies to SARS-CoV-2."
Debadyuti (Rana) Ghosh,UT Austin,https://www.nsf.gov/pubs/2020/nsf20100/nsf20100.pdf,"Assistant Professor Dr. Ghosh is collaborating with Dr. Manish Kumar and his lab in
Environmental Engineering to evaluate the ability of surfaces
molecularly functionalized with a plant derived antimicrobial
peptide to stop transmission of 2019-nCoV (i.e. the coronavirus
associated with COVID-19) using their T7 bacteriophages as model
systems that display the spike protein of 2019-nCoV. His
recombinant phages will serve as surrogates to test the efficacy of
these functionalized surfaces. He is at the initial phase of the work
to test his non-recombinant phages against functionalized surfaces;
this work will take 6-12 months. He is a Co-PI on an NSF RAPIDgrant supporting this work along with Dr. Kumar."
Jimmy Gollihar,UT Austin,https://www.bsf.org.il/funding-opportunities/nsf-bsf-joint-research-grants/the-programs/,"Research Scientist
Dr. Gollihar is the DoD’s Chief Technology Officer of the
Bioindustrial Manufacturing Innovation Institute. He also serves
as the Biological Foundry and Synthetic Biology Lead at the U.S.
Army Research Laboratory--South where he works on
developing automated, high-throughput organism engineering
and biological countermeasure platforms. His research focuses
on the intersection of synthetic, systems, and computational
biology. He is also the molecular tools lead of the TRANSFORMEResearch Program at  the U.S. Army Combatj i m m y . d . g o l l i h a r 2 . c i v @ m a i l . m i l   C a p a b i l i t i e s   D e v e l o p m e n t   C o m m a n d   A r m y   R e s e a r c h   L a b o r a t o r y ."
Matthew Hall,UT Austin,https://www.rwjf.org/content/rwjf/en/library/funding-opportunities/2020/systems-for-action-supplemental-research-on-covid19-response-and-recovery.html?rid=0034400001rm31WAAQ&et_cid=2134003,"Professor Dr. Hall is working with the Austin Fire Department to apply ozone
sterilization to PPE masks (along with Drs. Chris Rylander and Nichole
Rylander). Dr. Hall will perform measurements of pressure drop across the
mask before and following ozone sterilization to determine mask intergrity
and safety for reuse. We have a plan to check the masks for changes in
pressure drop with use, as an indication of degradation of the filtering
media. The three PIs have also initiated a new research collaboration to
use a novel diesel engine approach for sterilization of indoor air containing
aerosolized pathogens including COVID-19. This approach will employ a
readily available system to impose high temperatures for short durations
to incinerate COVID-19 thereby inactivating the virus-laden air and
preventing disease spread."
Jon Huibregtse,UT Austin,https://covid19research.ssrc.org/rapid-response-grants-on-covid-19-and-the-social-sciences/,"Professor Dr. Huibregtse submitted a manuscript to Molecular Cell, showing that the SARS-CoV-
2/COVID-19 virus encodes a protease that counteracts the activity of the cellular
ISG15 anti-viral protein. This result establishes the viral protease (PLpro) as a drug
target for antiviral therapy. Further, the Mol. Cell paper proposes that a consequence
of PLpro de-ISGylase activity is the stimulation of a pro-inflammatory ""cytokine storm"".
COVID-19 patients die largely as a result of cytokine storms, and his results suggest a
clear route toward inhibiting the cytokine storm that is initiated as a result of PLpro
activity. Further, following submission of the Mol. Cell paper, he identified an FDA-
approved drug that inhibits the SARS-CoV-2 PLpro protease. The molecule blocks its
ability to act on ISG15 conjugates and we have strong preliminary evidence that this
will also block pro-inflammatory cytokine responses. This is a key finding, as it
suggests that the off-label use of an approved drug may directly impact patients
during the current crisis, if deployed rapidly."
Tanya Hutter,UT Austin,No links but here is the point of contact: calder@austin.utexas.edu,"Assistant Professor Dr. Hutter is working with Dr. Sapun Parekh to develop a rapid method of
SARS-CoV-2 detection in saliva combining a nanoporous material and simple
optical (reflectivity) measurement. Rapid and accurate detection of SARS-CoV-
2, the pathogen that causes COVID-19, is crucial in controlling the outbreak
within the community and in hospitals and is still a major bottleneck in nearly
every city in the US. The use of saliva has several important advantages; it is
easily accessible, will allow testing without the need for a medical provider,
and will permit specimen collection outside the hospitals such as in outpatient
clinics or in the community. Moreover, detection of the pathogen in
wastewater is attractive for similar reasons. Monitoring wastewater can help
fill in the gap of measuring how prevalent the virus is in a given community –
data that is useful in modeling the pandemic propagation and futureo u t b r e a k s ."
Gregory Ippolito,UT Austin,No links but here is the point of contact: ccenik@austin.utexas.edu,"Research Assistant Professor
Dr. Ippolito in collaboration with Drs. Jason Lavinder, Jason McLellan,
Jimmy Gollihar and George Georgiou have begun antibody
experiments on COVID-19+(positive) blood specimens and now have
preliminary data. This project launched March 21, 2020, and has
enrolled and collected blood specimens from confirmed COVID-19+
ATX study subjects that experienced mild disease, as of March 30th
(study approved for up to N=20). His team is recruiting asymptomatic
patients and also patients with clinically severe disease. The work is
collaborative and includes the CDC, Albert Einstein College of Medicine,
and Houston Methodist Hospital."
Brent Iverson,UT Austin,No links but here is the point of contact: zhengrong.cui@austin.utexas.edu,"Dr. Iverson will be using his patented YESS technology to carry out the first
Professor
complete substrate profile of the main protease of SARS-CoV-2 and to carry out a
similar analysis of the human protease (TMPRSS2) responsible for priming the
SARS-CoV-2 S protein during the initial phases of infection. The goal would be to
identify a highly active specific substrate that could aid in rational drug design or
high throughput drug screening (inhibiting this protease would effectively treat
COVID-19). He hopes to develop a highly sensitive substrate that could be used as
a rapid diagnostic. In an attempt to produce a catalytic therapeutic, Dr. Iverson will
use his YESS technology to engineer a human protease that can cleave the
recognition sequence of the SARS-CoV-2 spike protein. YESS is the most effective
protease engineering platform known. He believes that a human protease
engineered to specifically cleave the recognition sequence of the SARS-CoV-2 spikeprotein would be able to stop the spread of the virus in a patient in immediate andc a t a l y t i c   f a s h i o n ."
Ning (Jenny) Jiang,UT Austin,No links but here is the point of contact: dalby@austin.utexas.edu,"Associate Professor
Dr. Jiang is interested in two aims: Aim 1 is to assess the antigenic epitope
coverage of SARS-COV-2, the virus causing COVID-19, in
healthy blood donors’ T cells (blood samples used are previously banked
before March 13th); Aim 2 is to identify antigen-specific B cells that bind
specifically to SARS-COV-2 proteins but no other cold inducing coronavirus,
which could be developed into antibody based therapeutics."
Ken Johnson,UT Austin,No links but here is the point of contact: jdudley@austin.utexas.edu,"Dr. Johnson's research is focused on the examination of DNA and RNA
Professor
polymerases involved in the treatment of viral infections, and mechanisms
for force production by molecular motors. He started work on the SARS-
Cov2 coronavirus RdRp (RNA dependent RNA polymerase). He also has the
world's supply of sofosbuvir in its triphosphate form provided by Gilead.
This is the drug used to treat the related Hepatitis C by inhibiting its RdRp,
which is related to the coronavirus polymerase. He has a paper under
revision on why sofosbuvir is effective in treating HCV, while other similar
nucleoside analogs fail. He expects that he can quickly determine the same
information for SARS-Cov2 and to test other analogs that may be available
for treatment. His enzyme assays are well established in his lab. These
assays provide much faster turnaround to determine possible effectivenessof drugs to inhibit coronavirus replication."
Michael Krische,UT Austin,No links but here is the point of contact: liviase@utexas.edu,"Professor
Dr. Krische and his research team specializes in the synthesis of
polyketide natural products, and their ongoing research into the
development of catalytic C-C bond forming reactions should provide
us with the capability of preparing useful quantities of mycalamide so
that its therapeutic potential vis-à-vis COVID-19 can be evaluated. The
polyketide natural product, mycalamide, which was isolated from a
marine sponge of the coast of New Zealand, displays potent anti-
COVID-19 activity in mouse models. Remarkably, mycalamide is active
at a concentration of 1–2ng/disc. The natural abundance of
mycalamide is exceptionally/vanishingly low and there is nocommercial source."
Manish Kumar,UT Austin,No links but here is the point of contact: ifinkelstein@cm.utexas.edu,"Associate Professor Dr. Kumar aims to develop a rapid method to create simple barrier
materials to prevent transmission of the virus responsible for COVID-19.
He is working on generating and testing surrogates of the 2019-nCoV virus
(responsible for the COVID-19 disease) to test for removal using various
techniques. He is trying to develop a rapid method to coat masks and
HVAC filters with an antimicrobial peptide solution that has shown in
simulation studies to selectively immobilize the exposed spike protein of
the virus. He is working in collaboration with Dr. Jason McLellan who
recently published the atomic structure of this spike protein and with Dr.
Debadyuti Ghosh. They are also collaborating with Dr. Navid Saleh on his
COVID-19 work to create nanomaterials that can be used to inactivate the
virus. Dr. Kumar has received NSF RAPID funding to pursue his work withDr. Ghosh."
Jason Lavinder,UT Austin,No links but here is the point of contact: gg@che.utexas.edu,"Research Associate
Dr. Lavinder works in the Georgiou/Ippolito laboratory as the
primary scientific lead and Co-I/Co-PI on antibody repertoire
related research, primarily focusing on the human adaptive
immune response to infectious disease."
Min Kyung Lee,UT Austin,No links but here is the point of contact: dghosh@austin.utexas.edu,"Assistant Professor
Dr. Lee's background is in human-computer interaction and
human-centered AI. She is interested in investigating how to
leverage social computing and AI to promote healthy
information behaviors, and reduce negative social stereotypes
and inaccurate information. She is a Co-PI with Dr. Ken
Fleischmann on a recently funded NSF RAPID grant that
examines trust in public health information during the COVID-
19 pandemic."
Mo Maniruzzaman,UT Austin,No links but here is the point of contact: Essential,"Assistant Professor
Dr. Maniruzzaman focuses on pharmaceutical process 
engineering, continuous manufacturing and 3D printing of
medicines. Additional projects focus on 3D bioprinting of
scaffolds and smart medical implants as well as ultra-portable
drug delivery devices. Dr. Maniruzzaman is currently working
with the City of Austin to 3D-print COVID-19 nasal swabs."
Edward Marcotte,UT Austin,No links but here is the point of contact: mjhall@mail.utexas.edu,"Professor Dr. Marcotte is surveying available instruments and reagents on
campus in case there is a need to support local official COVID-19
RT-qPCR testing with university resources. Should it prove
necessary, he will collect and distribute the resources, which
include analytical instruments (RT-qPCR machines), portable
biological safety cabinets, and reagents. He is also working to
implement an alternative, higher-throughput (3K tests/day, possibly
scalable to 10K) COVID-19 testing protocol that leverages the DNA
sequencing instruments in the Genome Sequencing and Analysis
Facility (GSAF). For this project, his group is primarily providing off-
site bioinformatics support."
Stephen Martin,UT Austin,No links but here is the point of contact: huibregtse@austin.utexas.edu,"Professor Dr. Martin's research is focused primarily in synthetic and bioorganic
chemistry, and in chemical biology. He has been working for the past
several years developing compounds that selectively target the
Sigma 1 receptor and TMEM97 as potential therapeutic agents to
treat neurological diseases and conditions. New compounds having
improved selectivity profiles that also have better drug-like
properties are needed. A recently published paper showed that
both the sigma 1 receptor and TMEM97 are potential drug targets
for developing drugs to treat COVID-19. He will also need to
resynthesize several compounds he has already identified as
selective sigma 1 receptor and TMEM97 binders for testing."
Jennifer Maynard,UT Austin,No links but here is the point of contact: tanya.hutter@utexas.edu,"Professor Dr. Maynard is pursuing three complementary approaches for
rapid discovery of antibodies that could be used in COVID-19
diagnostic point-of-care tests: She is experimentally selecting
beta-coronavirus cross-reactive antibodies from MERS-
immunized mice. She is also rationally re-engineering
previously described antibodies that bind SARS COV-1 with
high affinity for COVID-19 binding. Finally, she is rapidly
cloning, expressing and screening large numbers of COVID-19
spike variants for use by structural biology labs worldwide, as
they work to predict which mutations are likely to increasevirus expression."
Lauren Meyers,UT Austin,No links but here is the point of contact: gci@utexas.edu,"Professor Dr. Meyers' research focus includes network epidemiology, optimization of
infectious disease surveillance and control, and translational tools for public
health. Her work has included uncovering the sociological and biological drivers
of influenza transmission, improving disease control policies for influenza and
HIV, redesigning disease surveillance systems to harness next-generation data,
and creating decision-support software for the Centers for Disease Control and
Prevention (CDC), Association of Public Health Labs (APHL), Defense Threat
Reduction Agency (DTRA) and Texas Department of State Health Services
(DSHS). She is currently modeling how quickly the coronavirus can spread,
including asymptomatic transmission of the virus. 
 
Recent UT News Release: Coronavirus Spreads Quickly and Sometimes Before
laurenmeyers@austin.
People Have Symptoms, Study Finds"
Thomas Milner,UT Austin,No links but here is the point of contact: iversonb@austin.utexas.edu,"Department of Electrical and Computer Engineering
Professor
Dr. Milner's research is directed toward the development of novel
optical tomographic imaging modalities and laser surgical
procedures for diagnosis and treatment of disease in humans. He
is currently working on three projects related to COVID-19: 1)
Verifying a low-cost rapidly prototyped ICU ventilator that could be
deployed locally should an ICU saturation occur, 2) airway laser
destruction of COVID-19 in the larynx, trachea and nasal airways,
and 3) using the laser to treat secondary negative problems when
a person who has cured of an acute severe viral infection develops
a severe chronic lung disease – lung fibrosis."
Pawel Misztal,UT Austin,No links but here is the point of contact: jiang@austin.utexas.edu,"Assistant Professor
Dr. Misztal's Lab houses a Vocus2R mass spectrometer that
is being used in collaboration with Drs. Lea Hildebrandt Ruiz
and Atila Novaselac on COVID-19 work. He is a Co-PI on an
NSF RAPID grant supporting this work, along with Drs.
Hildebrandt Ruiz and Novaselac."
Sapun Parekh,UT Austin,No links but here is the point of contact: kajohnson@mail.utexas.edu,"Dr. Parekh tests the uptake potential of a viral mimic, using the 2019-nCoV
Assistant Professor
spike (S) glycoprotein, a crucial part of the protein corona enveloping the
virus. 2019-nCoV-S has been found to bind to the angiotensin-converting
enzyme (ACE2) receptor on cells leading to internalization analogous with
SARS-CoV-S, the spike protein of the SARS coronavirus that had its
outbreak in 2003. Dr. Parekh proposes the use of ACE-positive lung
epithelial cells that are known to take up the SARS-CoV-S and test the
uptake of S-protein coated microspheres. He wants to both quantify the
magnitude of uptake and to visualize the subcellular localization of the
protein. He is also proposing to help elucidate the infectious ability with
respect to two variables: ambient temperature and patient age to assist
with therapeutic development and link observed epidemiology with actualcellular infection."
Shelley Payne,UT Austin,No links but here is the point of contact: mkrische@cm.utexas.edu,"Professor
Dr. Payne's research is focused on human infectious
diseases. Although her work focuses on bacterial pathogens,
she also has a project on Zika. Drs. Payne and Jaquelin
Dudley are co-PIs on a grant to identify Zika virus in biological
samples. This project will be expanded to include coronavirus
detection, since the methods will be the same. They will
obtain inactivated coronovirus from the American Type
Culture Collection (ATCC.  The inactivated virus will be added
to control samples of blood, feces and urine and the
sensitivity of detection determined. "
John Powers,UT Austin,No links but here is the point of contact: manish.kumar@utexas.edu,"Assistant Professor
Dr. Powers focuses on understanding the underlying genetic
mechanisms leading to pediatric neuroblastoma. He will work
on a bacteriophage-based vaccine platform to develop a
vaccine against COVID-19. It was originally envisioned as a
personalized cancer vaccine, and he believes it would be
valuable as a pathogen vaccine system as well. It has the
advantages of exceptional speed to produce vaccine
candidates, ease and speed of scaling up, and low long term
cost."
Chris Rylander,UT Austin,No links but here is the point of contact: jlavinder@utexas.edu,"Associate Professor Dr. Rylander is working with the Austin Fire Department to
apply ozone sterilization to PPE masks (along with Drs.
Matthew Hall and Nichole Rylander). Dr. Rylander will design
the experimental approach and build relevant equipment for
ozone exposure and assessment. The three PIs have also
initiated a new research collaboration to use a novel diesel
engine approach for sterilization of indoor air containing
aerosolized pathogens including COVID-19. This approach
will employ a readily available system to impose high
temperatures for short durations to incinerate COVID-19
thereby inactivating the virus-laden air and preventingdisease spread."
Nichole Rylander,UT Austin,No links but here is the point of contact: minkyung.lee@austin.utexas.edu,"Associate Professor Dr. Rylander is working with the Austin Fire Department to apply ozone
sterilization to PPE masks (along with  Drs. Chris Rylander and Matthew
Hall). Dr. Rylander will assess mask effectiveness for protection against
bacteria and viruses by measuring their inactivation following ozone
sterilization, and she will be in charge of culturing representative bacteria
and viruses for testing and determining appropriate parameters for
inactivation of COVID-19. The three PIs have also initiated a new research
collaboration to use a novel diesel engine approach for sterilization of
indoor air containing aerosolized pathogens including COVID-19. This
approach will employ a readily available system to impose high
temperatures for short durations to incinerate COVID-19 thereby
inactivating the virus-laden air and preventing disease spread. Her lab will
be the site for culture of bacteria/viruses and evaluation of theirinactivation by the engine."
Navid Saleh,UT Austin,No links but here is the point of contact: m.maniruzzaman@austin.utexas.edu,"Associate Professor
Dr. Saleh recently received funding from the NSF to modify
mask surfaces (both surgical and N95) to improve their
capture and inactivation of SARS-CoV-2. In this project, he will
be modifying surgical mask surfaces with surfactant-coated
carbon particles at different ratios and moisture content,
testing the efficacy of the modified mask surfaces to attach
and inactivate a range of viruses including SARS-CoV-2, and
working to understand the mechanisms of attachment and
inactivation."
Jonathan Sessler,UT Austin,No links but here is the point of contact: marcotte@icmb.utexas.edu,"Professor Dr. Sessler will re-prepare zinc transporters for shipping to the
University of Arizona for testing as potential corona virus
antivirals. Anecdotal evidence lends support to the hypothesis
that zinc may mitigate the severity of the illness. However, zinc
salts are poorly transported into cells. Dr. Sessler solved this
problem back in 2008 in the context of anticancer studies
published that year in Cancer Research. He will re-synthesize
those compounds. He will also carry out confirmatory cell tests
as needed to ensure no toxic impurities are present in the
shipment. He is looking for antiviral activity, not just random
killing. So, this is an important control."
Jason Shear,UT Austin,No links but here is the point of contact: sfmartin@mail.utexas.edu,"Professor
Dr. Shear is developing optical-sensing platforms for the rapid
detection of the COVID-19 virus in samples derived from
biological and environmental sources (e.g., nose swabs, surface
wipes) based on modulation of graphene quantum dot (GQD)
Raman scattering or fluorescence signals. Initial studies will be
conducted using non-pathogenic surrogate virus platforms.
Once feasibility is demonstrated for rapid, sensitive, and reliable
detection, coronavirus-specific studies will be undertaken
through collaborative studies undertaken with appropriate BSL-
3 (and BSL-2) laboratories."
Hugh Smyth,UT Austin,No links but here is the point of contact: maynard@che.utexas.edu,"Professor
Dr. Smyth is developing inhaled therapies for the treatment and
prevention of COVID-19 airway disease utilizing repurposed FDA
approved drugs. These inhaled formulations and drug-device
combinations are being manufactured and tested in his lab, also
in collaboration with Dr. Robert O. Williams III. These
formulations will be tested in vitro and in vivo in a BSL-3 lab at a
non-UT collaborators institution."
Haris Vikalo,UT Austin,No links but here is the point of contact: utexas.edu,"Professor
Dr. Vikalo received NSF RAPID funding to analyze genomic data,
provide accurate identification of transmission clusters, and enable
detection of critical nodes in a network of pathogen hosts while also
providing insight into pathogen-mutation processes that occur during
the spread of COVID-19. He will use the methods he develops to
identify transmission clusters to analyze publicly available COVID-19
datasets."
Janet Walkow,UT Austin,No links but here is the point of contact: terra.laser@gmail.com,"Executive Director and Chief Technology Officer, Drug Dynamics Institute
Dr. Walkow is developing a drug product containing clofazimine, a
previously approved drug that has been identified as a potential
therapeutic against COVID-19."
Robert O. (Bill) Williams III,UT Austin,No links but here is the point of contact: misztal@utexas.edu,"Division Head - Molecular Pharmaceutics and Drug Delivery
Dr. Williams is actively working on two RNA-based vaccines and two small
molecule drugs (mycophenolic acid and nuclosamide) using the drug delivery platforms
for which he has IP coverage: thin-film freezing for delivering the vaccines/drugs to the
lungs via dry powder inhalation. He is collaborating with several biotech companies who
are filing for FDA fast track for COVID-19 related new therapies. He is collaborating with
Jay Peters at UT Health San Antonio and the VA Hospital on a grant for inhaled drug
delivery of the two small molecule drugs.  He is also collaborating with Prof. Jai Hyun Seo
in Korea, who will begin testing on all of his formulations for inhaled and oral delivery in
his SARS CoV, SARS CoV-2 and MERS CoV animal infection models. 
 
Dr. Williams is in the process of treating lung-injured, aged animals with a peptide (LTI-
03) that has been shown to reverse severe lung injury. This work is being done in
collaboration with LungTherapeutics, a local company that is planning to start testing
LTI-03 for treating virus-induced lung injury in a mouse model. The outcome of thecurrent experiment would provide important data and rational for the continuation ofr e s e a r c h   i n t o   L T I - 0 3   a s   a   p o t e n t i a l   C O V I D - 1 9   t h e r a p e u t i c ."
Bo Xie,UT Austin,No links but here is the point of contact: sparekh@utexas.edu,"Professor Dr. Xie and collegues recently submitted an opinion paper* on global health
crises accepted for publication in JASIST, a top journal in information science.
A few years ago, Dr. Xie received an NSF grant to study clinicians' information
wants during the Ebola crisis, and published the findings. This time around,
she wants to move further, to see her research findings translate into
something that makes a real difference outside of academia. She is a Co-PI
with Dr. Ken Fleischmann on a recently funded NSF RAPID grant that
examines trust in public health information during the COVID-19 pandemic.
 
*Op-Ed 
Xie, B., He, D., Mercer, T., Wang, Y., Wu, D., Fleischmann, K. R., Zhang, Y., Yoder, L. H.,
Stephens, K. K., Mackert, M., Lee, M. K. (in press). Global health crises are also
information crises: a call to action. Journal of the Association for Information Scienceand Technology (JASIST)."
Alison Preston,UT Austin,No links but here is the point of contact: payne@utexas.edu,"Interim Vice President for Research
Dr. Preston is the Interim Vice President for Research and the
Dr. A. Wilson Nolle and Sir Raghunath P. Mahendroo Professor
of Neuroscience at UT. She is the director of the university’s
Bioimaging Research Center. Dr. Preston studies the cognitive
neuroscience of memory, with a particular focus in how
memory develops in children and teens. She also chairs the
Research Working Group, as part of the Executive Committee
lead by President Gregory Fenves and Interim President
Designate Jay Hartzell, to safely reopen campus to faculty, staff,
and students in 2020 during the COVID-19 pandemic."
Elizabeth A. Vandewater,UT Austin,No links but here is the point of contact: john.powers@austin.utexas.edu,"Research Development Officer
Dr. Vandewater is a seasoned NIH investigator, and she has played a
major role in several successful NIH Center grant applications. She
supports basic and applied biomedical and health related proposals,
with a particular focus on large, complex, agency proposals (e.g.,
multiple PIs, cross-college, cross-institution, etc.), such as center grants,
training grants, and cooperative agreements."
"Eunjung ""EJ"" Lee-Furman",UT Austin,No links but here is the point of contact: cgr@austin.utexas.edu,"Senior Special Projects Coordinator
Ms. Lee-Furman is a Certified Research Administrator who provides
comprehensive support to Research Interest Groups (RIGs) spanning
nearly all colleges, schools and units. RIGs are self-governed, PI-driven
groupings of researchers who share a research vision or goal, and who
convene to exchange knowledge, methods and expertise in support of
that research goal."
